Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	48.98	0.0	[230, 138, 575, 447]	True
beta	Levene	4.1	0.007	[230, 138, 575, 447]	True
frontal_alpha	Barlett	213.96	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	11.9	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	8.32	0.04	[230, 138, 575, 447]	True
frontal_theta	Levene	0.84	0.472	[230, 138, 575, 447]	False
gamma	Barlett	87.55	0.0	[230, 138, 575, 447]	True
gamma	Levene	2.57	0.053	[230, 138, 575, 447]	False
hf-hrv	Barlett	4.01	0.261	[230, 138, 575, 447]	False
hf-hrv	Levene	0.38	0.768	[230, 138, 575, 447]	False
ibi	Barlett	78.69	0.0	[230, 138, 575, 447]	True
ibi	Levene	23.68	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	127.83	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	7.61	0.0	[230, 138, 575, 447]	True
