State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.97	508	0.0	True
0	frontal_alpha	0.97	508	0.0	True
0	frontal_theta	0.97	508	0.0	True
0	gamma	0.95	508	0.0	True
0	hf-hrv	0.92	508	0.0	True
0	ibi	0.95	508	0.0	True
0	posterior_alpha	0.98	508	0.0	True
1	beta	0.98	511	0.0	True
1	frontal_alpha	0.99	511	0.001	True
1	frontal_theta	0.98	511	0.0	True
1	gamma	0.97	511	0.0	True
1	hf-hrv	0.9	511	0.0	True
1	ibi	0.96	511	0.0	True
1	posterior_alpha	0.98	511	0.0	True
2	beta	0.89	168	0.0	True
2	frontal_alpha	0.76	168	0.0	True
2	frontal_theta	0.97	168	0.0	True
2	gamma	0.84	168	0.0	True
2	hf-hrv	0.85	168	0.0	True
2	ibi	0.95	168	0.0	True
2	posterior_alpha	0.82	168	0.0	True
3	beta	0.89	203	0.0	True
3	frontal_alpha	0.76	203	0.0	True
3	frontal_theta	0.96	203	0.0	True
3	gamma	0.76	203	0.0	True
3	hf-hrv	0.95	203	0.0	True
3	ibi	0.97	203	0.0	True
3	posterior_alpha	0.79	203	0.0	True
