Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	267.23	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	42.86	0.0	[310, 342, 409, 331]	True
ibi	Barlett	8.87	0.031	[310, 342, 409, 331]	True
ibi	Levene	3.06	0.027	[310, 342, 409, 331]	True
