Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	17.11	0.001	[230, 138, 575, 447]	True
beta	Levene	5.8	0.001	[230, 138, 575, 447]	True
frontal_alpha	Barlett	136.51	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	9.05	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	59.49	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	9.88	0.0	[230, 138, 575, 447]	True
gamma	Barlett	71.26	0.0	[230, 138, 575, 447]	True
gamma	Levene	5.18	0.001	[230, 138, 575, 447]	True
hf-hrv	Barlett	111.35	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	25.01	0.0	[230, 138, 575, 447]	True
ibi	Barlett	7.55	0.056	[230, 138, 575, 447]	False
ibi	Levene	1.77	0.152	[230, 138, 575, 447]	False
posterior_alpha	Barlett	141.9	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	7.78	0.0	[230, 138, 575, 447]	True
