Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	87.76	0.0	[278, 358, 117, 637]	True
beta	Levene	4.93	0.002	[278, 358, 117, 637]	True
frontal_alpha	Barlett	118.43	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	9.5	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	71.05	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	2.84	0.037	[278, 358, 117, 637]	True
gamma	Barlett	255.2	0.0	[278, 358, 117, 637]	True
gamma	Levene	7.5	0.0	[278, 358, 117, 637]	True
posterior_alpha	Barlett	231.52	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	9.99	0.0	[278, 358, 117, 637]	True
