State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.98	388	0.0	True
0	frontal_alpha	0.86	388	0.0	True
0	frontal_theta	0.95	388	0.0	True
0	gamma	0.95	388	0.0	True
0	posterior_alpha	0.92	388	0.0	True
1	beta	0.99	247	0.011	True
1	frontal_alpha	0.96	247	0.0	True
1	frontal_theta	0.96	247	0.0	True
1	gamma	0.96	247	0.0	True
1	posterior_alpha	0.96	247	0.0	True
2	beta	0.92	108	0.0	True
2	frontal_alpha	0.91	108	0.0	True
2	frontal_theta	0.7	108	0.0	True
2	gamma	0.81	108	0.0	True
2	posterior_alpha	0.82	108	0.0	True
3	beta	1.0	647	0.063	False
3	frontal_alpha	0.92	647	0.0	True
3	frontal_theta	0.97	647	0.0	True
3	gamma	0.99	647	0.0	True
3	posterior_alpha	0.96	647	0.0	True
