subject,video,valence_changepoints,number_valence_changepoints,arousal_changepoints,number_arousal_changepoints,model,jump_value,penalty_value
6,1,"[3.0, 3.5, 9.33, 17.0, 21.83, 33.67]",6,"[17.0, 18.83, 51.0]",3,l2,5,1
6,2,"[2.33, 20.0, 57.33]",3,"[20.0, 23.33]",2,l2,5,1
6,3,"[2.0, 5.0, 9.5]",3,"[3.67, 5.67, 9.67, 11.5, 47.0, 50.17]",6,l2,5,1
6,4,"[7.0, 10.5, 32.17, 41.67, 48.17, 52.17]",6,"[11.5, 23.67, 34.33, 54.17, 56.5]",5,l2,5,1
6,5,"[24.5, 52.67]",2,"[4.5, 24.0, 32.83, 35.33, 43.33, 44.67, 47.5, 48.0, 48.67, 53.67, 56.17]",11,l2,5,1
6,6,"[3.5, 14.17, 24.83, 28.0, 43.17, 44.67]",6,"[4.0, 15.83, 24.83, 27.33, 31.17, 34.5, 44.67]",7,l2,5,1
6,7,"[3.67, 6.17, 23.17, 43.83, 57.0]",5,"[43.17, 43.83, 57.0, 59.17]",4,l2,5,1
6,8,"[6.5, 22.0, 51.0, 54.33, 55.83]",5,[],0,l2,5,1
