State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.94	278	0.0	True
0	frontal_alpha	0.95	278	0.0	True
0	frontal_theta	0.95	278	0.0	True
0	gamma	0.93	278	0.0	True
0	posterior_alpha	0.94	278	0.0	True
1	beta	0.9	358	0.0	True
1	frontal_alpha	0.95	358	0.0	True
1	frontal_theta	0.97	358	0.0	True
1	gamma	0.74	358	0.0	True
1	posterior_alpha	0.94	358	0.0	True
2	beta	0.82	117	0.0	True
2	frontal_alpha	0.98	117	0.038	True
2	frontal_theta	0.93	117	0.0	True
2	gamma	0.7	117	0.0	True
2	posterior_alpha	0.96	117	0.002	True
3	beta	0.66	637	0.0	True
3	frontal_alpha	0.95	637	0.0	True
3	frontal_theta	0.94	637	0.0	True
3	gamma	0.57	637	0.0	True
3	posterior_alpha	0.94	637	0.0	True
