Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	88.28	0.0	[278, 358, 117, 637]	True
beta	Levene	1.32	0.266	[278, 358, 117, 637]	False
frontal_alpha	Barlett	4.84	0.184	[278, 358, 117, 637]	False
frontal_alpha	Levene	1.93	0.123	[278, 358, 117, 637]	False
frontal_theta	Barlett	18.79	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	3.17	0.024	[278, 358, 117, 637]	True
gamma	Barlett	102.42	0.0	[278, 358, 117, 637]	True
gamma	Levene	1.57	0.194	[278, 358, 117, 637]	False
posterior_alpha	Barlett	3.81	0.283	[278, 358, 117, 637]	False
posterior_alpha	Levene	1.39	0.245	[278, 358, 117, 637]	False
