State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.96	278	0.0	True
0	frontal_alpha	0.88	278	0.0	True
0	frontal_theta	0.86	278	0.0	True
0	gamma	0.74	278	0.0	True
0	posterior_alpha	0.86	278	0.0	True
1	beta	0.89	358	0.0	True
1	frontal_alpha	0.85	358	0.0	True
1	frontal_theta	0.96	358	0.0	True
1	gamma	0.61	358	0.0	True
1	posterior_alpha	0.79	358	0.0	True
2	beta	0.76	117	0.0	True
2	frontal_alpha	0.93	117	0.0	True
2	frontal_theta	0.88	117	0.0	True
2	gamma	0.45	117	0.0	True
2	posterior_alpha	0.92	117	0.0	True
3	beta	0.47	637	0.0	True
3	frontal_alpha	0.89	637	0.0	True
3	frontal_theta	0.91	637	0.0	True
3	gamma	0.25	637	0.0	True
3	posterior_alpha	0.88	637	0.0	True
