State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.84	278	0.0	True
0	frontal_alpha	0.81	278	0.0	True
0	frontal_theta	0.96	278	0.0	True
0	gamma	0.76	278	0.0	True
0	posterior_alpha	0.88	278	0.0	True
1	beta	0.89	358	0.0	True
1	frontal_alpha	0.85	358	0.0	True
1	frontal_theta	0.93	358	0.0	True
1	gamma	0.78	358	0.0	True
1	posterior_alpha	0.87	358	0.0	True
2	beta	0.85	117	0.0	True
2	frontal_alpha	0.85	117	0.0	True
2	frontal_theta	0.96	117	0.003	True
2	gamma	0.73	117	0.0	True
2	posterior_alpha	0.91	117	0.0	True
3	beta	0.78	637	0.0	True
3	frontal_alpha	0.84	637	0.0	True
3	frontal_theta	0.93	637	0.0	True
3	gamma	0.51	637	0.0	True
3	posterior_alpha	0.82	637	0.0	True
