Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	24.37	0.0	[278, 358, 117, 637]	True
beta	Levene	0.82	0.484	[278, 358, 117, 637]	False
frontal_alpha	Barlett	175.01	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	26.44	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	9.78	0.021	[278, 358, 117, 637]	True
frontal_theta	Levene	1.02	0.385	[278, 358, 117, 637]	False
gamma	Barlett	164.84	0.0	[278, 358, 117, 637]	True
gamma	Levene	1.1	0.349	[278, 358, 117, 637]	False
posterior_alpha	Barlett	154.58	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	40.72	0.0	[278, 358, 117, 637]	True
