Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	118.87	0.0	[230, 138, 575, 447]	True
beta	Levene	12.9	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	142.53	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	9.17	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	1498.25	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	1.18	0.316	[230, 138, 575, 447]	False
gamma	Barlett	398.06	0.0	[230, 138, 575, 447]	True
gamma	Levene	14.52	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	13.82	0.003	[230, 138, 575, 447]	True
hf-hrv	Levene	4.5	0.004	[230, 138, 575, 447]	True
ibi	Barlett	16.6	0.001	[230, 138, 575, 447]	True
ibi	Levene	4.72	0.003	[230, 138, 575, 447]	True
posterior_alpha	Barlett	102.05	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	8.95	0.0	[230, 138, 575, 447]	True
