State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.65	230	0.0	True
0	frontal_alpha	0.56	230	0.0	True
0	frontal_theta	0.68	230	0.0	True
0	gamma	0.48	230	0.0	True
0	hf-hrv	0.94	230	0.0	True
0	ibi	0.99	230	0.116	False
0	posterior_alpha	0.6	230	0.0	True
1	beta	0.59	138	0.0	True
1	frontal_alpha	0.34	138	0.0	True
1	frontal_theta	0.92	138	0.0	True
1	gamma	0.67	138	0.0	True
1	hf-hrv	0.97	138	0.007	True
1	ibi	0.99	138	0.3	False
1	posterior_alpha	0.33	138	0.0	True
2	beta	0.67	575	0.0	True
2	frontal_alpha	0.39	575	0.0	True
2	frontal_theta	0.13	575	0.0	True
2	gamma	0.48	575	0.0	True
2	hf-hrv	0.98	575	0.0	True
2	ibi	1.0	575	0.268	False
2	posterior_alpha	0.44	575	0.0	True
3	beta	0.47	447	0.0	True
3	frontal_alpha	0.38	447	0.0	True
3	frontal_theta	0.93	447	0.0	True
3	gamma	0.28	447	0.0	True
3	hf-hrv	0.97	447	0.0	True
3	ibi	0.99	447	0.06	False
3	posterior_alpha	0.39	447	0.0	True
