Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	111.93	0.0	[463, 370, 264, 296]	True
arousal	Levene	23.62	0.0	[463, 370, 264, 296]	True
valence	Barlett	212.32	0.0	[463, 370, 264, 296]	True
valence	Levene	28.56	0.0	[463, 370, 264, 296]	True
