Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	39.38	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	30.34	0.0	[310, 342, 409, 331]	True
ibi	Barlett	11.89	0.008	[310, 342, 409, 331]	True
ibi	Levene	4.71	0.003	[310, 342, 409, 331]	True
