Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	19.91	0.0	[463, 370, 264, 296]	True
arousal	Levene	16.26	0.0	[463, 370, 264, 296]	True
valence	Barlett	240.15	0.0	[463, 370, 264, 296]	True
valence	Levene	77.14	0.0	[463, 370, 264, 296]	True
