timestamp	hf-hrv	state
0	1.5694064070258031	2
1	1.543285069768999	2
2	1.4639987492821527	2
3	1.3345572010007736	2
4	1.1674292116733678	2
5	0.9856679012793103	2
6	0.8218032107679818	2
7	0.7018214862580094	2
8	0.6311791032693196	2
9	0.6066141725741776	2
10	0.6247675844051032	2
11	0.6789975250415329	2
12	0.7593417710582254	2
13	0.8569238552311176	2
14	0.9707354703574305	2
15	1.0977362742400048	2
16	1.220886112372088	2
17	1.3229825075464796	2
18	1.398840249174404	2
19	1.4498625814620905	2
20	1.4708592520754364	2
21	1.4527374695003916	2
22	1.3918933049514364	2
23	1.2889059426675877	2
24	1.1490929645227492	2
25	0.9838138620891481	2
26	0.8077386833353019	2
27	0.6302122338406503	2
28	0.45622994611641854	1
29	0.30268353367122863	1
30	0.18502506042746608	1
31	0.09714648176580729	1
32	0.03261650381634622	1
33	-0.018719513119434632	1
34	-0.07187919168217333	1
35	-0.12811156391346384	1
36	-0.1835260725912979	3
37	-0.241143755429714	3
38	-0.3072269103964221	3
39	-0.38181349228974965	3
40	-0.4580115814779105	3
41	-0.5197742056723198	3
42	-0.5386641946124717	3
43	-0.466157385155022	3
44	-0.27153676022129625	3
45	0.004957783162441948	1
46	0.3037290804001045	1
47	0.5924650305581516	2
48	0.8497058788186502	2
49	1.0609291326825296	2
50	1.2174706470858097	2
51	1.316620555249682	2
52	1.3627509086652916	2
53	1.3719172638485038	2
54	1.3731788445007755	2
55	1.3769303085495537	2
56	1.3629300037700942	2
57	1.3131128004711214	2
58	1.2235034289649906	2
59	1.0996358180493813	2
60	0.9562205785248579	2
61	0.8231887540138627	2
62	0.7095117362208496	2
63	0.5845483433501798	1
64	0.4274593294581847	1
65	0.24304914295014493	1
66	0.044730118330798214	1
67	-0.14585845444505768	3
68	-0.31292025485512415	3
69	-0.45823946287768164	3
70	-0.5834323127938307	3
71	-0.6685229322917715	3
72	-0.6925671997817807	3
73	-0.6642507919059979	3
74	-0.5827434812425316	3
75	-0.4550882049331245	3
76	-0.31179945111126794	3
77	-0.17087195282716663	3
78	-0.048135520300117654	1
79	0.040765397864610996	1
80	0.08671660065121492	1
81	0.08708783170697244	1
82	0.04437759932179751	1
83	-0.03431114580190012	1
84	-0.13584892763027545	3
85	-0.2395287668397452	3
86	-0.3354901635454406	3
87	-0.43223080381333073	3
88	-0.5337520649019998	3
89	-0.6287382407444772	3
90	-0.6905144644917068	3
91	-0.7046755335520198	3
92	-0.6836363484501131	3
93	-0.6382054720309458	3
94	-0.5714484681214388	3
95	-0.49444306509418584	3
96	-0.426655780414051	3
97	-0.38223581588170275	3
98	-0.3656132813345755	3
99	-0.37478652694565606	3
100	-0.40295960907543665	3
101	-0.4384203468016539	3
102	-0.46291124088609886	3
103	-0.45122427729652514	3
104	-0.37216601826982654	3
105	-0.19651862548297222	3
106	0.08047565451371032	1
107	0.43006908743561767	1
108	0.8183398471716111	2
109	1.2215995882301036	2
110	1.6172923468637448	2
111	1.982422442344145	2
112	2.2945902925948762	2
113	2.533693840802775	2
114	2.6839049447685004	2
115	2.735538137685453	2
116	2.6865674530564796	2
117	2.5439097442386887	2
118	2.3259541350944217	2
119	2.0731729816775717	2
120	1.8250688344623724	2
121	1.5754202431597988	2
122	1.3044300897202525	2
123	1.016540602014955	2
124	0.7313036430739165	2
125	0.48616066934905316	1
126	0.3188939316700068	1
127	0.22525181408362424	1
128	0.176205517739699	1
129	0.15575058231321653	1
130	0.1629505328407876	1
131	0.18582348748166216	1
132	0.1942126504085032	1
133	0.16902231982308533	1
134	0.10518049954462477	1
135	0.005009261959812334	1
136	-0.12363927655650706	1
137	-0.2686250452363029	3
138	-0.4133210425020809	3
139	-0.5303470263491739	3
140	-0.5712031289414234	3
141	-0.5170985151067887	3
142	-0.3886684914858233	3
143	-0.21712139744698372	3
144	-0.037679519347320625	1
145	0.12862189008700672	1
146	0.2674841380806213	1
147	0.36941782566072007	1
148	0.430551468109349	1
149	0.4586128724207834	1
150	0.461728562614524	1
151	0.43293011443257146	1
152	0.36569348638162685	1
153	0.26301071754476657	1
154	0.131430916799871	1
155	-0.01924534670002013	1
156	-0.16951971595132256	3
157	-0.2822137642717924	3
158	-0.3431727189992377	3
159	-0.37852785883172346	3
160	-0.41421557983355517	3
161	-0.46300069046894415	3
162	-0.5280905006619895	3
163	-0.6057185914528858	3
164	-0.690209686742964	3
165	-0.7757961837901228	0
166	-0.8552836240340899	0
167	-0.9234467076251882	0
168	-0.9754478251919395	0
169	-1.0013765674996988	0
170	-1.0059813780186304	0
171	-1.0075442343432148	0
172	-1.0091736416111006	0
173	-0.989805722084407	0
174	-0.905213367032494	0
175	-0.7485713441468023	3
176	-0.5580404112750768	3
177	-0.36164563516373793	3
178	-0.17658789917128784	3
179	-0.014298389978294851	1
180	0.12002420492784037	1
181	0.2322483495646044	1
182	0.33692600102603765	1
183	0.43441917870163793	1
184	0.5126983646569838	1
185	0.5664022401545961	1
186	0.5995817268700628	2
187	0.622834300067108	2
188	0.6435011309485512	2
189	0.6759854563446781	2
190	0.7485651082713725	2
191	0.8696922030068983	2
192	1.0251997318126649	2
193	1.1876202136461578	2
194	1.3235080196099747	2
195	1.4133839001229156	2
196	1.4482556837706	2
197	1.42594423846215	2
198	1.350223088390609	2
199	1.2312401080883084	2
200	1.0903573064323526	2
201	0.9349560587336729	2
202	0.7563897194093144	2
203	0.5590669670594218	1
204	0.3640931745738744	1
205	0.19881217329831627	1
206	0.060946311297955975	1
207	-0.0697554023180206	1
208	-0.19810144143486935	3
209	-0.31597397981381276	3
210	-0.4045338038001985	3
211	-0.45467314070581916	3
212	-0.4685555330742191	3
213	-0.4459441204811005	3
214	-0.39474142487924935	3
215	-0.33345525340908666	3
216	-0.28223441302882835	3
217	-0.2565007866368912	3
218	-0.26557542648345944	3
219	-0.3137965825288911	3
220	-0.40194754991319065	3
221	-0.5280444514451461	3
222	-0.6874937385506972	3
223	-0.8728559419112096	0
224	-1.07331079731117	0
225	-1.276052174822698	0
226	-1.4703762219397536	0
227	-1.6462508190411456	0
228	-1.7866681965129563	0
229	-1.8650416452251652	0
230	-1.8766235774489548	0
231	-1.8515576163134733	0
232	-1.8191345778943153	0
233	-1.7948461950708787	0
234	-1.7878271726112547	0
235	-1.802947856702478	0
236	-1.8385440529574772	0
237	-1.8886883496921323	0
238	-1.9484554708946356	0
239	-2.011970204544586	0
240	-2.0771604028549615	0
241	-2.1427588486946476	0
242	-2.2006243160691934	0
243	-2.235223991717136	0
244	-2.2211631441524027	0
245	-2.148509629358441	0
246	-2.028518443454044	0
247	-1.863440847447361	0
248	-1.6605027982311367	0
249	-1.4384184082417193	0
250	-1.2098375321964199	0
251	-0.9845837086331547	0
252	-0.7731434715753032	0
253	-0.5864805447720077	3
254	-0.4339080057856421	3
255	-0.32222795313160035	3
256	-0.2553192536652142	3
257	-0.23345325074710027	3
258	-0.2524071617261914	3
259	-0.30109280116377996	3
260	-0.3587879830501115	3
261	-0.41455714132625776	3
262	-0.47548124061023345	3
263	-0.5473723816413986	3
264	-0.6290876165504928	3
265	-0.7110700254183875	3
266	-0.7638315950643042	3
267	-0.7639211762987478	3
268	-0.7295248319402243	3
269	-0.6849280034295213	3
270	-0.6315455018258177	3
271	-0.5494906734658781	3
272	-0.43314253646083545	3
273	-0.30257451118682854	3
274	-0.17277158421366529	3
275	-0.060197898145670004	1
276	0.017798737407118983	1
277	0.052365715688704094	1
278	0.04422160261589922	1
279	0.0029441864098853424	1
280	-0.05261516901911356	1
281	-0.08879855188530625	1
282	-0.058490979678756015	1
283	0.04461510525672082	1
284	0.19403351744371788	1
285	0.3602038651543045	1
286	0.512008645293251	1
287	0.6392870726087881	2
288	0.7495278016107788	2
289	0.8556687411151814	2
290	0.9582811750553247	2
291	1.057212453770292	2
292	1.1526590293173125	2
293	1.2300989137429417	2
294	1.2696294709928264	2
295	1.257234256785798	2
296	1.1858797212050656	2
297	1.055545972475246	2
298	0.8733330258929269	2
299	0.6534728139151268	2
300	0.4156748862557281	1
301	0.17861421481870404	1
302	-0.04590503220634024	1
303	-0.24774262770999428	3
304	-0.4077087289979481	3
305	-0.519926628187931	3
306	-0.5873705035204859	3
307	-0.59938615777867	3
308	-0.5601599441937017	3
309	-0.4897486594605046	3
310	-0.40516588210094945	3
311	-0.31619091910009184	3
312	-0.22025032424878196	3
313	-0.09266957404849985	1
314	0.07716290134164051	1
315	0.2666229512264221	1
316	0.45415213896599366	1
317	0.6247758873287199	2
318	0.7678134446186862	2
319	0.8773559828927381	2
320	0.945775281132814	2
321	0.9624849850666789	2
322	0.9227599503605042	2
323	0.8306172759602444	2
324	0.6973019555612219	2
325	0.5426100460488142	1
326	0.3933816915457078	1
327	0.2714386197501098	1
328	0.18247279209601586	1
329	0.1243630059102902	1
330	0.09888335000343143	1
331	0.11236538753719702	1
332	0.1634489449991236	1
333	0.23363878552978082	1
334	0.31634454185373956	1
335	0.42406497759262696	1
336	0.5559843674460256	1
337	0.6966056919001672	2
338	0.8259766766045153	2
339	0.9259383851724308	2
340	0.987095712438699	2
341	1.0081641551139575	2
342	0.9959107568020479	2
343	0.9657106887149545	2
344	0.9440278601545876	2
345	0.9714017733421809	2
346	1.0847844062949046	2
347	1.2797310595493976	2
348	1.5090640701649796	2
349	1.7256064622679341	2
350	1.8996784430770683	2
351	2.010176560853316	2
352	2.0435432383385135	2
353	1.9948718464256288	2
354	1.8687915729616076	2
355	1.6800598214595273	2
356	1.455068440358478	2
357	1.238401598910062	2
358	1.063812783792454	2
359	0.9209048738407583	2
360	0.7938674876452971	2
361	0.6798507461433804	2
362	0.5642510938272569	1
363	0.42982388923847104	1
364	0.2710738435754599	1
365	0.09151230248160373	1
366	-0.10016454456939841	1
367	-0.2911906000327348	3
368	-0.46363807128965245	3
369	-0.5974248018274204	3
370	-0.6720286985977243	3
371	-0.6970027159214522	3
372	-0.7117530469687023	3
373	-0.7424430598858021	3
374	-0.7987857077389052	0
375	-0.8824318683814222	0
376	-0.9886009372007073	0
377	-1.0987413533836088	0
378	-1.1862083530203131	0
