	Value	Num DF	Den DF	F	p	Significance
MANOVA Wilks' lambda	0.7484116767027349	12.0	10919.307163385694	105.33400706703719	9.403801444185894e-249	True
MANOVA Pillai's trace	0.26747828220308467	12.0	12387.0	101.04382885810776	2.7687346197703397e-240	True
MANOVA Hotelling-Lawley trace	0.31515124258881944	12.0	7217.938692675302	108.36326573748144	1.008099783702995e-248	True
MANOVA Roy's greatest root	0.2282929346032605	4.0	4129.0	235.65538174421565	1.664379418416367e-182	True
