	Value	Num DF	Den DF	F	p	Significance
MANOVA Wilks' lambda	0.5559173741594413	6.0	121514.0	6910.179415938729	0.0	True
MANOVA Pillai's trace	0.4640996289682217	6.0	121516.0	6119.703636312618	0.0	True
MANOVA Hotelling-Lawley trace	0.7628213155850576	6.0	81007.55557999402	7724.392212673008	0.0	True
MANOVA Roy's greatest root	0.712268534763005	3.0	60758.0	14425.33721171022	0.0	True
