Group	Variable	Statistic	Samples	p-value	Significance
spaceship	valence		15664		False
spaceship	arousal	0.67	15664	0.0	True
invasion	valence	0.87	11132	0.0	True
invasion	arousal	0.88	11132	0.0	True
asteroids	valence	0.86	17204	0.0	True
asteroids	arousal	0.87	17204	0.0	True
underwood	valence	0.77	16764	0.0	True
underwood	arousal	0.85	16764	0.0	True
