State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.9	278	0.0	True
0	frontal_alpha	0.51	278	0.0	True
0	frontal_theta	0.34	278	0.0	True
0	gamma	0.78	278	0.0	True
0	posterior_alpha	0.37	278	0.0	True
1	beta	0.67	358	0.0	True
1	frontal_alpha	0.44	358	0.0	True
1	frontal_theta	0.91	358	0.0	True
1	gamma	0.46	358	0.0	True
1	posterior_alpha	0.35	358	0.0	True
2	beta	0.87	117	0.0	True
2	frontal_alpha	0.46	117	0.0	True
2	frontal_theta	0.82	117	0.0	True
2	gamma	0.76	117	0.0	True
2	posterior_alpha	0.34	117	0.0	True
3	beta	0.42	637	0.0	True
3	frontal_alpha	0.48	637	0.0	True
3	frontal_theta	0.47	637	0.0	True
3	gamma	0.58	637	0.0	True
3	posterior_alpha	0.54	637	0.0	True
