Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	382.5	0.0	[278, 358, 117, 637]	True
beta	Levene	3.99	0.008	[278, 358, 117, 637]	True
frontal_alpha	Barlett	78.81	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	2.49	0.058	[278, 358, 117, 637]	False
frontal_theta	Barlett	261.74	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	0.75	0.52	[278, 358, 117, 637]	False
gamma	Barlett	95.92	0.0	[278, 358, 117, 637]	True
gamma	Levene	2.57	0.053	[278, 358, 117, 637]	False
posterior_alpha	Barlett	373.35	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	3.49	0.015	[278, 358, 117, 637]	True
