sj_id,rating_method,cr_mean_v,cr_mean_a,cr_mean_dist,cr_mean_angle,cr_std_v,cr_std_a,cr_std_dist,cr_std_angle,cr_skew_v,cr_skew_a,cr_skew_dist,cr_skew_angle,cr_kurtosis_v,cr_kurtosis_a,cr_kurtosis_dist,cr_kurtosis_angle,cr_auc_v,cr_auc_a,cr_auc_dist,cr_auc_angle
76.0,V1,-0.014785433070866147,-0.02024106602059355,0.8006399091559734,0.38199821202059614,0.4707309525700492,0.7205110521825908,0.3165686162177858,1.7064639345066783,-0.5067378783087871,-0.5067378783087871,-1.0236634105393718,0.11575943601195408,-0.3704457538289141,-0.3704457538289141,0.020247841739154282,-1.3127861012831412,-97.44400000000007,-97.44400000000007,5286.373393274625,2520.7153606971115
76.0,V2,-0.09139536644457905,0.3113900666262871,0.8665753755953365,1.0754555139102777,0.7222549268908974,0.4189273717989796,0.22673941455465735,1.6085362760231605,-0.14277502063773204,-0.14277502063773204,-1.5973916339586411,-0.7697836408327621,-1.6540051972153802,-1.6540051972153802,2.3881455579017183,0.2294518720253449,-603.0439999999999,-603.0439999999999,5722.332780431602,7100.737417536679
76.0,mean,-0.05309039975772262,0.14557450030284674,0.8336076423756549,0.7287268629654369,0.6107856809326065,0.6121999227496535,0.2773086671508129,1.6940852436973957,-0.3096428153118251,-0.3096428153118251,-1.3112124887691587,-0.305046243685432,-1.1962527526822604,-1.1962527526822604,1.0070515426415554,-0.894621785663273,-701.0239999999997,-701.0239999999997,11009.242173706229,9623.023574560584
77.0,V1,0.4946715626892792,-0.17138400969109632,0.7914387742217739,-0.25412243607716384,0.4034180218474078,0.6103450552751097,0.4276484949735322,0.7921212057363965,-0.04058599640940465,-0.04058599640940465,-1.2309146984914112,-0.10511459332625829,-1.4601122907208313,-1.4601122907208313,-0.37587018524265714,-0.6570374274079418,3266.585,3266.585,5226.310711616117,-1678.6601342939125
77.0,V2,-0.33923425196850404,-0.09160826771653546,1.0140021628223659,0.41972755462144695,1.003804654065964,0.43031411762647415,0.5365491335050074,2.0387214802466658,-0.011376847878788097,-0.011376847878788097,-0.5962530597552476,0.012856402868154747,-1.342491364877169,-1.342491364877169,-0.156038407260219,-1.1403664128219573,-2239.7865,-2239.7865,6695.953783278906,2770.3099743932416
77.0,mean,0.07771865536038763,-0.1314961387038159,0.90272046852207,0.0828025592721415,0.8712080828513942,0.529542927825798,0.49776271399673483,1.5828578874268369,-0.8098837590983522,-0.8098837590983522,-0.6215668408517699,0.45686780874658184,-0.3789638296467537,-0.3789638296467537,-0.06290171593038307,-0.08868755099436942,1027.0245000000014,1027.0245000000014,11922.6154482395,1092.0854065396493
78.0,V1,-0.27776726226529375,0.04234009691096304,0.782399733240691,0.5054611743233773,0.6352720290182475,0.5673560457513999,0.4383509719349404,1.8627559657499235,0.5026920216236361,0.5026920216236361,-1.1028802216885807,-0.21644720039781853,-1.2858283147171032,-1.2858283147171032,-0.6743044830141947,-1.2936992865696564,-1833.9824999999998,-1833.9824999999998,5166.4607907399295,3336.8375595875314
78.0,V2,-0.08016050878255604,0.02720199878861298,0.8706153224520949,0.8638228117993739,0.7092146659182819,0.5944388344238728,0.3246658529873569,1.7899697938317758,-0.14552438252223224,-0.14552438252223224,-1.375605102161706,-0.27576510764387624,-1.6494050998770184,-1.6494050998770184,0.47054503594561226,-1.0846447314206997,-529.0930000000001,-529.0930000000001,5748.986507921505,5705.814588751115
78.0,mean,-0.1789638855239249,0.034771047849788024,0.8265075278463928,0.6846419930613756,0.6804458258956059,0.5810825552296147,0.388233490172005,1.8354921931697694,0.16889163520435369,0.16889163520435369,-1.2940781029386952,-0.2525496274866565,-1.5943375245348994,-1.5943375245348994,-0.0068938294463429806,-1.1779103211365876,-2363.4275,-2363.4275,10915.99484624303,9043.880183982697
79.0,V1,0.3419082374318595,0.05029981829194426,0.5561037078121536,0.01695477963928561,0.5010958417466295,0.27214718112859704,0.36782043787172225,1.1435410614396122,-0.5819925757244034,-0.5819925757244034,0.2848284536478626,0.48404833311342377,0.23855096586401414,0.23855096586401414,-1.4771909954597569,1.580529251804676,2257.518,2257.518,3671.9015938896027,113.03284601629991
