Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	3368.07	0.0	[463, 370, 264, 296]	True
arousal	Levene	66.4	0.0	[463, 370, 264, 296]	True
valence	Barlett	42.38	0.0	[463, 370, 264, 296]	True
valence	Levene	16.29	0.0	[463, 370, 264, 296]	True
