Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	73.29	0.0	[278, 358, 117, 637]	True
beta	Levene	3.2	0.023	[278, 358, 117, 637]	True
frontal_alpha	Barlett	32.99	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	2.66	0.047	[278, 358, 117, 637]	True
frontal_theta	Barlett	39.57	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	0.72	0.542	[278, 358, 117, 637]	False
gamma	Barlett	94.6	0.0	[278, 358, 117, 637]	True
gamma	Levene	5.24	0.001	[278, 358, 117, 637]	True
posterior_alpha	Barlett	35.2	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	3.54	0.014	[278, 358, 117, 637]	True
