State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.95	278	0.0	True
0	frontal_alpha	0.66	278	0.0	True
0	frontal_theta	0.52	278	0.0	True
0	gamma	0.87	278	0.0	True
0	posterior_alpha	0.67	278	0.0	True
1	beta	0.76	358	0.0	True
1	frontal_alpha	0.71	358	0.0	True
1	frontal_theta	0.63	358	0.0	True
1	gamma	0.71	358	0.0	True
1	posterior_alpha	0.72	358	0.0	True
2	beta	0.88	117	0.0	True
2	frontal_alpha	0.79	117	0.0	True
2	frontal_theta	0.53	117	0.0	True
2	gamma	0.75	117	0.0	True
2	posterior_alpha	0.77	117	0.0	True
3	beta	0.77	637	0.0	True
3	frontal_alpha	0.67	637	0.0	True
3	frontal_theta	0.58	637	0.0	True
3	gamma	0.71	637	0.0	True
3	posterior_alpha	0.61	637	0.0	True
