Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	66.33	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	8.26	0.0	[310, 342, 409, 331]	True
ibi	Barlett	61.87	0.0	[310, 342, 409, 331]	True
ibi	Levene	15.21	0.0	[310, 342, 409, 331]	True
