subject	test	value	num_df	den_df	F	p-value	significance
001	Wilks' lambda	0.8480240547135607	5	1384.0	49.60583537868565	2.3661930138875854e-47	True
001	Pillai's trace	0.15197594528643937	5.0	1384.0	49.60583537868567	2.3661930138875854e-47	True
001	Hotelling-Lawley trace	0.1792118330154829	5	1384.000000000018	49.60583537868567	2.366193013886173e-47	True
001	Roy's greatest root	0.1792118330154829	5	1384	49.60583537868567	2.3661930138875854e-47	True
002	Wilks' lambda	0.9854993798598711	5	1384.0	4.0728302186840475	0.0011276681631965607	True
002	Pillai's trace	0.014500620140128869	5.0	1384.0	4.072830218684047	0.0011276681631965607	True
002	Hotelling-Lawley trace	0.014713982003916352	5	1384.000000000018	4.072830218684046	0.0011276681631960368	True
002	Roy's greatest root	0.014713982003916352	5	1384	4.072830218684047	0.0011276681631965607	True
003	Wilks' lambda	0.9946739923628042	5	1384.0	1.482132764398326	0.1926234124215781	False
003	Pillai's trace	0.005326007637195768	5.0	1384.0	1.4821327643983124	0.1926234124215781	False
003	Hotelling-Lawley trace	0.005354525882941879	5	1384.000000000018	1.482132764398312	0.19262341242148104	False
003	Roy's greatest root	0.005354525882941879	5	1384	1.4821327643983122	0.1926234124215781	False
004	Wilks' lambda	0.9834952140654663	5	1384.0	4.645192657109197	0.0003290339531572852	True
004	Pillai's trace	0.01650478593453372	5.0	1384.0	4.645192657109189	0.0003290339531572852	True
004	Hotelling-Lawley trace	0.016781765379729727	5	1384.000000000018	4.645192657109187	0.00032903395315713265	True
004	Roy's greatest root	0.016781765379729727	5	1384	4.645192657109189	0.0003290339531572852	True
005	Wilks' lambda	0.9832220662572116	5	1384.0	4.723380627209101	0.0002776966636373284	True
005	Pillai's trace	0.01677793374278839	5.0	1384.0	4.723380627209111	0.0002776966636373284	True
005	Hotelling-Lawley trace	0.017064236369975113	5	1384.000000000018	4.72338062720911	0.00027769666363719914	True
005	Roy's greatest root	0.017064236369975113	5	1384	4.723380627209112	0.0002776966636373284	True
006	Wilks' lambda	0.9945712328421027	5	1384.0	1.5108849921306133	0.18334632242307775	False
006	Pillai's trace	0.005428767157897273	5.0	1384.0	1.5108849921306038	0.18334632242307775	False
006	Hotelling-Lawley trace	0.0054583995380440885	5	1384.000000000018	1.5108849921306036	0.18334632242299434	False
006	Roy's greatest root	0.0054583995380440885	5	1384	1.5108849921306038	0.18334632242307775	False
007	Wilks' lambda	0.9830576595964501	5	1384.0	4.7704626253842894	0.00025069607397529747	True
007	Pillai's trace	0.016942340403549933	5.0	1384.0	4.770462625384295	0.00025069607397529747	True
007	Hotelling-Lawley trace	0.017234330294018406	5	1384.000000000018	4.770462625384295	0.0002506960739751688	True
007	Roy's greatest root	0.017234330294018406	5	1384	4.770462625384295	0.00025069607397529747	True
009	Wilks' lambda	0.9845747614951641	5	1384.0	4.336599093454977	0.0006407193084699254	True
009	Pillai's trace	0.015425238504835957	5.0	1384.0	4.336599093454992	0.0006407193084699254	True
009	Hotelling-Lawley trace	0.015666904239360516	5	1384.000000000018	4.33659909345499	0.0006407193084696146	True
009	Roy's greatest root	0.015666904239360516	5	1384	4.336599093454991	0.0006407193084699254	True
012	Wilks' lambda	0.9896905499049147	5	1384.0	2.88338186779068	0.013489119921688159	True
012	Pillai's trace	0.010309450095085286	5.0	1384.0	2.8833818677906695	0.013489119921688879	True
012	Hotelling-Lawley trace	0.010416842007914267	5	1384.000000000018	2.883381867790669	0.013489119921682193	True
012	Roy's greatest root	0.010416842007914267	5	1384	2.8833818677906695	0.013489119921688879	True
014	Wilks' lambda	0.9915380918243958	5	1384.0	2.362245285703121	0.03802153489361898	True
014	Pillai's trace	0.008461908175604214	5.0	1384.0	2.3622452857031204	0.03802153489361898	True
014	Hotelling-Lawley trace	0.008534123141991042	5	1384.000000000018	2.36224528570312	0.038021534893600814	True
014	Roy's greatest root	0.008534123141991042	5	1384	2.3622452857031204	0.03802153489361898	True
015	Wilks' lambda	0.9811178747460546	5	1384.0	5.327160379831926	7.425225221088764e-05	True
015	Pillai's trace	0.018882125253945385	5.0	1384.0	5.327160379831924	7.425225221088764e-05	True
015	Hotelling-Lawley trace	0.019245521603439033	5	1384.000000000018	5.327160379831923	7.425225221085532e-05	True
015	Roy's greatest root	0.019245521603439033	5	1384	5.327160379831924	7.425225221088764e-05	True
016	Wilks' lambda	0.9844761158890795	5	1384.0	4.3647692946031285	0.0006030324324778112	True
016	Pillai's trace	0.015523884110920518	5.0	1384.0	4.364769294603122	0.0006030324324778112	True
016	Hotelling-Lawley trace	0.015768675197265616	5	1384.000000000018	4.364769294603122	0.0006030324324774899	True
016	Roy's greatest root	0.015768675197265616	5	1384	4.364769294603123	0.0006030324324778112	True
018	Wilks' lambda	0.9986244143799525	5	1384.0	0.3812865919821874	0.8618329864518932	False
018	Pillai's trace	0.0013755856200474421	5.0	1384.0	0.38128659198217957	0.8618329864518932	False
018	Hotelling-Lawley trace	0.0013774804623633656	5	1384.000000000018	0.38128659198217957	0.8618329864519572	False
018	Roy's greatest root	0.0013774804623633656	5	1384	0.3812865919821796	0.8618329864518932	False
019	Wilks' lambda	0.984664585618914	5	1384.0	4.310952950558786	0.000677047019288331	True
019	Pillai's trace	0.015335414381085951	5.0	1384.0	4.310952950558775	0.000677047019288331	True
019	Hotelling-Lawley trace	0.015574251989012917	5	1384.000000000018	4.310952950558774	0.0006770470192879666	True
019	Roy's greatest root	0.015574251989012917	5	1384	4.310952950558776	0.000677047019288331	True
020	Wilks' lambda	0.9956931050448538	5	1384.0	1.1973051912725428	0.30816156308598097	False
