test	t-value	df	p-value	significance
Wilks' lambda	-4.625402824978082	38.0	4.246814957398052e-05	True
Pillai's trace	-33.451098370453956	38.0	8.487914855536218e-30	True
Hotelling-Lawley trace	-32.58371708291579	38.0	2.2290932725217924e-29	True
Roy's greatest root	-32.58371708291579	38.0	2.2290932725217924e-29	True
