test	t-value	df	p-value	significance
Wilks' lambda	264.2393239106315	38.0	1.215624033628736e-63	True
Pillai's trace	4.895013831392771	38.0	1.8419387493974358e-05	True
Hotelling-Lawley trace	4.365780961095048	38.0	9.404484566847352e-05	True
Roy's greatest root	4.365780961095048	38.0	9.404484566847352e-05	True
