Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	75.88	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	24.28	0.0	[310, 342, 409, 331]	True
ibi	Barlett	16.75	0.001	[310, 342, 409, 331]	True
ibi	Levene	5.57	0.001	[310, 342, 409, 331]	True
