State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.52	230	0.0	True
0	frontal_alpha	0.34	230	0.0	True
0	frontal_theta	0.69	230	0.0	True
0	gamma	0.44	230	0.0	True
0	hf-hrv	0.95	230	0.0	True
0	ibi	0.96	230	0.0	True
0	posterior_alpha	0.37	230	0.0	True
1	beta	0.61	138	0.0	True
1	frontal_alpha	0.84	138	0.0	True
1	frontal_theta	0.91	138	0.0	True
1	gamma	0.52	138	0.0	True
1	hf-hrv	0.96	138	0.0	True
1	ibi	0.95	138	0.0	True
1	posterior_alpha	0.68	138	0.0	True
2	beta	0.56	575	0.0	True
2	frontal_alpha	0.57	575	0.0	True
2	frontal_theta	0.88	575	0.0	True
2	gamma	0.57	575	0.0	True
2	hf-hrv	0.95	575	0.0	True
2	ibi	0.94	575	0.0	True
2	posterior_alpha	0.51	575	0.0	True
3	beta	0.84	447	0.0	True
3	frontal_alpha	0.82	447	0.0	True
3	frontal_theta	0.99	447	0.001	True
3	gamma	0.67	447	0.0	True
3	hf-hrv	0.96	447	0.0	True
3	ibi	0.96	447	0.0	True
3	posterior_alpha	0.65	447	0.0	True
