Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	477.85	0.0	[230, 138, 575, 447]	True
beta	Levene	11.99	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	571.41	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	6.08	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	90.91	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	3.06	0.027	[230, 138, 575, 447]	True
gamma	Barlett	551.54	0.0	[230, 138, 575, 447]	True
gamma	Levene	16.56	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	134.17	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	59.21	0.0	[230, 138, 575, 447]	True
ibi	Barlett	85.11	0.0	[230, 138, 575, 447]	True
ibi	Levene	53.23	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	497.32	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	7.37	0.0	[230, 138, 575, 447]	True
