State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.81	230	0.0	True
0	frontal_alpha	0.89	230	0.0	True
0	frontal_theta	0.81	230	0.0	True
0	gamma	0.8	230	0.0	True
0	hf-hrv	0.89	230	0.0	True
0	ibi	1.0	230	0.743	False
0	posterior_alpha	0.93	230	0.0	True
1	beta	0.77	138	0.0	True
1	frontal_alpha	0.92	138	0.0	True
1	frontal_theta	0.96	138	0.0	True
1	gamma	0.8	138	0.0	True
1	hf-hrv	0.94	138	0.0	True
1	ibi	0.99	138	0.365	False
1	posterior_alpha	0.91	138	0.0	True
2	beta	0.72	575	0.0	True
2	frontal_alpha	0.86	575	0.0	True
2	frontal_theta	0.91	575	0.0	True
2	gamma	0.72	575	0.0	True
2	hf-hrv	0.95	575	0.0	True
2	ibi	1.0	575	0.275	False
2	posterior_alpha	0.91	575	0.0	True
3	beta	0.75	447	0.0	True
3	frontal_alpha	0.85	447	0.0	True
3	frontal_theta	0.94	447	0.0	True
3	gamma	0.72	447	0.0	True
3	hf-hrv	0.73	447	0.0	True
3	ibi	0.99	447	0.083	False
3	posterior_alpha	0.71	447	0.0	True
