Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	196.43	0.0	[230, 138, 575, 447]	True
beta	Levene	13.87	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	46.3	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	11.79	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	9.18	0.027	[230, 138, 575, 447]	True
frontal_theta	Levene	0.2	0.896	[230, 138, 575, 447]	False
gamma	Barlett	211.27	0.0	[230, 138, 575, 447]	True
gamma	Levene	15.73	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	89.04	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	3.43	0.017	[230, 138, 575, 447]	True
ibi	Barlett	4.4	0.222	[230, 138, 575, 447]	False
ibi	Levene	1.02	0.385	[230, 138, 575, 447]	False
posterior_alpha	Barlett	5.33	0.149	[230, 138, 575, 447]	False
posterior_alpha	Levene	4.31	0.005	[230, 138, 575, 447]	True
