Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	23.35	0.0	[463, 370, 264, 296]	True
arousal	Levene	15.74	0.0	[463, 370, 264, 296]	True
valence	Barlett	11.05	0.011	[463, 370, 264, 296]	True
valence	Levene	5.18	0.001	[463, 370, 264, 296]	True
