State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.97	278	0.0	True
0	frontal_alpha	0.69	278	0.0	True
0	frontal_theta	0.77	278	0.0	True
0	gamma	0.93	278	0.0	True
0	posterior_alpha	0.64	278	0.0	True
1	beta	0.94	358	0.0	True
1	frontal_alpha	0.72	358	0.0	True
1	frontal_theta	0.74	358	0.0	True
1	gamma	0.88	358	0.0	True
1	posterior_alpha	0.63	358	0.0	True
2	beta	0.88	117	0.0	True
2	frontal_alpha	0.64	117	0.0	True
2	frontal_theta	0.75	117	0.0	True
2	gamma	0.79	117	0.0	True
2	posterior_alpha	0.62	117	0.0	True
3	beta	0.87	637	0.0	True
3	frontal_alpha	0.61	637	0.0	True
3	frontal_theta	0.74	637	0.0	True
3	gamma	0.7	637	0.0	True
3	posterior_alpha	0.6	637	0.0	True
