Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	9.13	0.028	[278, 358, 117, 637]	True
beta	Levene	0.98	0.399	[278, 358, 117, 637]	False
frontal_alpha	Barlett	296.26	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	22.75	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	10.09	0.018	[278, 358, 117, 637]	True
frontal_theta	Levene	0.88	0.451	[278, 358, 117, 637]	False
gamma	Barlett	50.75	0.0	[278, 358, 117, 637]	True
gamma	Levene	0.69	0.56	[278, 358, 117, 637]	False
posterior_alpha	Barlett	508.59	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	35.14	0.0	[278, 358, 117, 637]	True
