State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.62	230	0.0	True
0	frontal_alpha	0.89	230	0.0	True
0	frontal_theta	0.66	230	0.0	True
0	gamma	0.58	230	0.0	True
0	hf-hrv	0.92	230	0.0	True
0	ibi	0.99	230	0.087	False
0	posterior_alpha	0.93	230	0.0	True
1	beta	0.22	138	0.0	True
1	frontal_alpha	0.82	138	0.0	True
1	frontal_theta	0.68	138	0.0	True
1	gamma	0.27	138	0.0	True
1	hf-hrv	0.8	138	0.0	True
1	ibi	0.99	138	0.234	False
1	posterior_alpha	0.84	138	0.0	True
2	beta	0.2	575	0.0	True
2	frontal_alpha	0.84	575	0.0	True
2	frontal_theta	0.76	575	0.0	True
2	gamma	0.19	575	0.0	True
2	hf-hrv	0.91	575	0.0	True
2	ibi	0.99	575	0.006	True
2	posterior_alpha	0.86	575	0.0	True
3	beta	0.66	447	0.0	True
3	frontal_alpha	0.8	447	0.0	True
3	frontal_theta	0.78	447	0.0	True
3	gamma	0.65	447	0.0	True
3	hf-hrv	0.93	447	0.0	True
3	ibi	0.99	447	0.129	False
3	posterior_alpha	0.85	447	0.0	True
