Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	3495.49	0.0	[635, 407, 84, 264]	True
beta	Levene	51.08	0.0	[635, 407, 84, 264]	True
frontal_alpha	Barlett	364.14	0.0	[635, 407, 84, 264]	True
frontal_alpha	Levene	79.31	0.0	[635, 407, 84, 264]	True
frontal_theta	Barlett	1367.04	0.0	[635, 407, 84, 264]	True
frontal_theta	Levene	136.14	0.0	[635, 407, 84, 264]	True
gamma	Barlett	3107.92	0.0	[635, 407, 84, 264]	True
gamma	Levene	75.59	0.0	[635, 407, 84, 264]	True
hf-hrv	Barlett	645.32	0.0	[635, 407, 84, 264]	True
hf-hrv	Levene	98.91	0.0	[635, 407, 84, 264]	True
ibi	Barlett	24.88	0.0	[635, 407, 84, 264]	True
ibi	Levene	5.43	0.001	[635, 407, 84, 264]	True
posterior_alpha	Barlett	187.23	0.0	[635, 407, 84, 264]	True
posterior_alpha	Levene	34.15	0.0	[635, 407, 84, 264]	True
