test	t-value	df	p-value	significance
Wilks' lambda	39.07516783829925	33.0	3.260588264273962e-29	True
Pillai's trace	37.11145931487562	33.0	1.7229774056656696e-28	True
Hotelling-Lawley trace	17.908801513751218	33.0	1.4517219808986588e-18	True
Roy's greatest root	17.908801513751218	33.0	1.4517219808986588e-18	True
