test	t-value	df	p-value	significance
Wilks' lambda	-4.0632016539089015	38.0	0.00023399687840860794	True
Pillai's trace	-25.105379233608414	38.0	2.9035430705602866e-25	True
Hotelling-Lawley trace	-22.196308075913283	38.0	2.3367872114851652e-23	True
Roy's greatest root	-22.196308075913283	38.0	2.3367872114851652e-23	True
