State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.85	230	0.0	True
0	frontal_alpha	0.55	230	0.0	True
0	frontal_theta	0.95	230	0.0	True
0	gamma	0.73	230	0.0	True
0	hf-hrv	0.98	230	0.008	True
0	ibi	0.99	230	0.058	False
0	posterior_alpha	0.45	230	0.0	True
1	beta	0.82	138	0.0	True
1	frontal_alpha	0.32	138	0.0	True
1	frontal_theta	0.97	138	0.007	True
1	gamma	0.7	138	0.0	True
1	hf-hrv	0.98	138	0.024	True
1	ibi	0.97	138	0.004	True
1	posterior_alpha	0.22	138	0.0	True
2	beta	0.77	575	0.0	True
2	frontal_alpha	0.36	575	0.0	True
2	frontal_theta	0.92	575	0.0	True
2	gamma	0.38	575	0.0	True
2	hf-hrv	0.97	575	0.0	True
2	ibi	1.0	575	0.261	False
2	posterior_alpha	0.25	575	0.0	True
3	beta	0.83	447	0.0	True
3	frontal_alpha	0.52	447	0.0	True
3	frontal_theta	0.88	447	0.0	True
3	gamma	0.67	447	0.0	True
3	hf-hrv	0.99	447	0.001	True
3	ibi	0.99	447	0.003	True
3	posterior_alpha	0.32	447	0.0	True
