Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	412.87	0.0	[230, 138, 575, 447]	True
beta	Levene	41.78	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	226.87	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	1.94	0.121	[230, 138, 575, 447]	False
frontal_theta	Barlett	3.68	0.298	[230, 138, 575, 447]	False
frontal_theta	Levene	2.0	0.112	[230, 138, 575, 447]	False
gamma	Barlett	1151.09	0.0	[230, 138, 575, 447]	True
gamma	Levene	18.48	0.0	[230, 138, 575, 447]	True
hf-hrv	Barlett	8.83	0.032	[230, 138, 575, 447]	True
hf-hrv	Levene	1.59	0.189	[230, 138, 575, 447]	False
ibi	Barlett	2.79	0.425	[230, 138, 575, 447]	False
ibi	Levene	2.18	0.088	[230, 138, 575, 447]	False
posterior_alpha	Barlett	374.96	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	2.31	0.074	[230, 138, 575, 447]	False
