State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.2	278	0.0	True
0	frontal_alpha	0.91	278	0.0	True
0	frontal_theta	0.96	278	0.0	True
0	gamma	0.2	278	0.0	True
0	posterior_alpha	0.98	278	0.001	True
1	beta	0.3	358	0.0	True
1	frontal_alpha	0.85	358	0.0	True
1	frontal_theta	0.83	358	0.0	True
1	gamma	0.26	358	0.0	True
1	posterior_alpha	0.94	358	0.0	True
2	beta	0.29	117	0.0	True
2	frontal_alpha	0.64	117	0.0	True
2	frontal_theta	0.73	117	0.0	True
2	gamma	0.31	117	0.0	True
2	posterior_alpha	0.92	117	0.0	True
3	beta	0.29	637	0.0	True
3	frontal_alpha	0.87	637	0.0	True
3	frontal_theta	0.92	637	0.0	True
3	gamma	0.25	637	0.0	True
3	posterior_alpha	0.93	637	0.0	True
