Variable	Test	Statistic	p-value	Samples	Significance
arousal	Barlett	22.79	0.0	[463, 370, 264, 296]	True
arousal	Levene	7.78	0.0	[463, 370, 264, 296]	True
valence	Barlett	773.63	0.0	[463, 370, 264, 296]	True
valence	Levene	369.91	0.0	[463, 370, 264, 296]	True
