"","Grid vs Baseline","","","","","Flubber vs Baseline","","","","","Proprioceptive vs Baseline","","","","","Grid vs Flubber","","","","","Grid vs Proprioceptive","","","","","Flubber vs Proprioceptive","","","",""
"1","t","SE","df","p.value","FDR.adjusted.p.value.5","t.1","SE.1","df.1","p.value.1","FDR.adjusted.p.value.4","t.2","SE.2","df.2","p.value.2","FDR.adjusted.p.value.3","t.3","SE.3","df.3","p.value.3","FDR.adjusted.p.value.2","t.4","SE.4","df.4","p.value.4","FDR.adjusted.p.value.1","t.5","SE.5","df.5","p.value.5","FDR.adjusted.p.value"
"t-test","1.54","0.16","61","0.13","0.15","1.7","0.19","61","0.09","0.14","-1.9","0.21","61","0.06","0.13","-0.45","0.18","61","0.65","0.65","3.17","0.2","61","0","0.01","3.5","0.21","61","0","0.01"
"TOST Lower","4.72","0.16","61","0","","4.35","0.19","61","0","","0.46","0.21","61","0.33","","2.35","0.18","61","0.01","","5.64","0.2","61","0","","5.92","0.21","61","0",""
"TOST Upper","-1.64","0.16","61","0.05","","-0.94","0.19","61","0.18","","-4.25","0.21","61","0","","-3.25","0.18","61","0","","0.71","0.2","61","0.76","","1.09","0.21","61","0.86",""
