timestamp	state
0	2
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	3
9	3
10	3
11	0
12	0
13	0
14	0
15	0
16	0
17	3
18	3
19	3
20	2
21	2
22	2
23	2
24	0
25	3
26	3
27	3
28	3
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	3
39	3
40	3
41	3
42	1
43	3
44	3
45	3
46	3
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	2
60	2
61	3
62	1
63	3
64	0
65	3
66	3
67	3
68	3
69	3
70	0
71	0
72	0
73	1
74	1
75	0
76	0
77	3
78	3
79	3
80	3
81	3
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	2
93	2
94	2
95	2
96	1
97	1
98	3
99	0
100	3
101	3
102	0
103	3
104	3
105	3
106	0
107	0
108	0
109	0
110	3
111	3
112	3
113	0
114	3
115	3
116	0
117	0
118	0
119	3
120	3
121	3
122	0
123	0
124	0
125	0
126	3
127	3
128	3
129	0
130	0
131	0
132	0
133	0
134	3
135	1
136	3
137	0
138	0
139	0
140	0
141	0
142	3
143	0
144	0
145	0
146	0
147	0
148	0
149	0
150	3
151	3
152	3
153	1
154	3
155	3
156	1
157	3
158	0
159	0
160	3
161	3
162	3
163	0
164	0
165	0
166	3
167	3
168	0
169	0
170	0
171	2
172	2
173	2
174	2
175	2
176	2
177	2
178	2
179	2
180	2
181	2
182	2
183	2
184	2
185	2
186	2
187	0
188	0
189	2
190	2
191	2
192	2
193	2
194	0
195	0
196	3
197	0
198	0
199	3
200	3
201	0
202	0
203	0
204	3
205	3
206	0
207	0
208	2
209	2
210	2
211	1
212	2
213	2
214	2
215	2
216	2
217	2
218	2
219	2
220	2
221	2
222	2
223	2
224	2
225	2
226	2
227	2
228	0
229	0
230	3
231	3
232	0
233	0
234	0
235	3
236	3
237	3
238	0
239	0
240	3
241	3
242	3
243	3
244	3
245	3
246	3
247	3
248	0
249	0
250	0
251	0
252	0
253	0
254	3
255	3
256	3
257	3
258	2
259	2
260	2
261	3
262	3
263	3
264	3
265	3
266	3
267	3
268	0
269	0
270	0
271	0
272	0
273	0
274	0
275	0
276	2
277	2
278	0
279	3
280	3
281	3
282	3
283	3
284	3
285	2
286	2
287	2
288	0
289	0
290	1
291	1
292	1
293	3
294	0
295	0
296	3
297	3
298	3
299	0
300	0
301	3
302	2
303	2
304	3
305	3
306	3
307	0
308	0
309	0
310	0
311	0
312	0
313	3
314	3
315	3
316	3
317	0
318	0
319	0
320	3
321	3
322	0
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	3
332	3
333	0
334	0
335	0
336	3
337	3
338	0
339	0
340	0
341	3
342	3
343	3
344	1
345	1
346	3
347	0
348	0
349	3
350	3
351	0
352	3
353	3
354	3
355	3
356	3
357	3
358	3
359	0
360	0
361	0
362	3
363	3
364	0
365	0
366	3
367	3
368	3
369	3
370	0
371	3
372	3
373	3
374	3
375	0
376	0
377	0
378	2
379	2
380	2
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	3
392	1
393	1
394	3
395	0
396	0
397	0
398	0
399	0
400	3
401	3
402	0
403	1
404	1
405	1
406	1
407	1
408	3
409	3
410	3
411	3
412	3
413	3
414	3
415	3
416	3
417	1
418	3
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	3
427	3
428	3
429	0
430	0
431	3
432	3
433	3
434	3
435	3
436	1
437	1
438	3
439	0
440	0
441	0
442	0
443	0
444	3
445	3
446	0
447	0
448	3
449	3
450	3
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	3
461	3
462	3
463	0
464	0
465	0
466	0
467	3
468	3
469	0
470	3
471	3
472	3
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	3
481	3
482	3
483	0
484	0
485	2
486	2
487	2
488	3
489	0
490	2
491	2
492	2
493	1
494	1
495	1
496	3
497	0
498	0
499	0
500	3
501	3
502	3
503	3
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	3
513	3
514	3
515	3
516	3
517	0
518	0
519	0
520	0
521	0
522	3
523	1
524	1
525	1
526	1
527	1
528	1
529	1
530	1
531	3
532	0
533	3
534	3
535	3
536	3
537	1
538	1
539	3
540	3
541	3
542	0
543	0
544	0
545	0
