Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	30.41	0.0	[278, 358, 117, 637]	True
beta	Levene	5.48	0.001	[278, 358, 117, 637]	True
frontal_alpha	Barlett	199.5	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	5.16	0.002	[278, 358, 117, 637]	True
frontal_theta	Barlett	128.78	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	5.43	0.001	[278, 358, 117, 637]	True
gamma	Barlett	140.96	0.0	[278, 358, 117, 637]	True
gamma	Levene	2.77	0.041	[278, 358, 117, 637]	True
posterior_alpha	Barlett	247.98	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	6.17	0.0	[278, 358, 117, 637]	True
