State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.9	278	0.0	True
0	frontal_alpha	0.43	278	0.0	True
0	frontal_theta	0.74	278	0.0	True
0	gamma	0.81	278	0.0	True
0	posterior_alpha	0.39	278	0.0	True
1	beta	0.91	358	0.0	True
1	frontal_alpha	0.41	358	0.0	True
1	frontal_theta	0.79	358	0.0	True
1	gamma	0.66	358	0.0	True
1	posterior_alpha	0.38	358	0.0	True
2	beta	0.95	117	0.0	True
2	frontal_alpha	0.4	117	0.0	True
2	frontal_theta	0.59	117	0.0	True
2	gamma	0.64	117	0.0	True
2	posterior_alpha	0.42	117	0.0	True
3	beta	0.93	637	0.0	True
3	frontal_alpha	0.37	637	0.0	True
3	frontal_theta	0.87	637	0.0	True
3	gamma	0.57	637	0.0	True
3	posterior_alpha	0.33	637	0.0	True
