Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	329.59	0.0	[230, 138, 575, 447]	True
beta	Levene	2.08	0.101	[230, 138, 575, 447]	False
frontal_alpha	Barlett	520.22	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	12.13	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	331.97	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	10.44	0.0	[230, 138, 575, 447]	True
gamma	Barlett	847.33	0.0	[230, 138, 575, 447]	True
gamma	Levene	1.04	0.374	[230, 138, 575, 447]	False
hf-hrv	Barlett	211.37	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	31.68	0.0	[230, 138, 575, 447]	True
ibi	Barlett	13.67	0.003	[230, 138, 575, 447]	True
ibi	Levene	2.62	0.05	[230, 138, 575, 447]	False
posterior_alpha	Barlett	536.87	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	18.01	0.0	[230, 138, 575, 447]	True
