State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.61	230	0.0	True
0	frontal_alpha	0.81	230	0.0	True
0	frontal_theta	0.89	230	0.0	True
0	gamma	0.57	230	0.0	True
0	hf-hrv	0.89	230	0.0	True
0	ibi	0.96	230	0.0	True
0	posterior_alpha	0.78	230	0.0	True
1	beta	0.74	138	0.0	True
1	frontal_alpha	0.82	138	0.0	True
1	frontal_theta	0.89	138	0.0	True
1	gamma	0.7	138	0.0	True
1	hf-hrv	0.97	138	0.01	True
1	ibi	0.98	138	0.018	True
1	posterior_alpha	0.76	138	0.0	True
2	beta	0.37	575	0.0	True
2	frontal_alpha	0.71	575	0.0	True
2	frontal_theta	0.88	575	0.0	True
2	gamma	0.36	575	0.0	True
2	hf-hrv	0.94	575	0.0	True
2	ibi	0.98	575	0.0	True
2	posterior_alpha	0.68	575	0.0	True
3	beta	0.85	447	0.0	True
3	frontal_alpha	0.86	447	0.0	True
3	frontal_theta	0.98	447	0.0	True
3	gamma	0.71	447	0.0	True
3	hf-hrv	0.93	447	0.0	True
3	ibi	0.97	447	0.0	True
3	posterior_alpha	0.82	447	0.0	True
