Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	557.65	0.0	[230, 138, 575, 447]	True
beta	Levene	7.46	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	350.43	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	28.1	0.0	[230, 138, 575, 447]	True
frontal_theta	Barlett	32.88	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	1.76	0.154	[230, 138, 575, 447]	False
gamma	Barlett	391.63	0.0	[230, 138, 575, 447]	True
gamma	Levene	4.65	0.003	[230, 138, 575, 447]	True
hf-hrv	Barlett	80.88	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	23.63	0.0	[230, 138, 575, 447]	True
ibi	Barlett	6.94	0.074	[230, 138, 575, 447]	False
ibi	Levene	1.53	0.205	[230, 138, 575, 447]	False
posterior_alpha	Barlett	328.27	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	19.01	0.0	[230, 138, 575, 447]	True
