State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.93	278	0.0	True
0	frontal_alpha	0.91	278	0.0	True
0	frontal_theta	0.97	278	0.0	True
0	gamma	0.92	278	0.0	True
0	posterior_alpha	0.91	278	0.0	True
1	beta	0.9	358	0.0	True
1	frontal_alpha	0.75	358	0.0	True
1	frontal_theta	0.94	358	0.0	True
1	gamma	0.89	358	0.0	True
1	posterior_alpha	0.8	358	0.0	True
2	beta	0.79	117	0.0	True
2	frontal_alpha	0.87	117	0.0	True
2	frontal_theta	0.96	117	0.001	True
2	gamma	0.71	117	0.0	True
2	posterior_alpha	0.81	117	0.0	True
3	beta	0.81	637	0.0	True
3	frontal_alpha	0.94	637	0.0	True
3	frontal_theta	0.95	637	0.0	True
3	gamma	0.79	637	0.0	True
3	posterior_alpha	0.95	637	0.0	True
