Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	55.43	0.0	[278, 358, 117, 637]	True
beta	Levene	3.14	0.024	[278, 358, 117, 637]	True
frontal_alpha	Barlett	57.46	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	2.16	0.091	[278, 358, 117, 637]	False
frontal_theta	Barlett	1.49	0.685	[278, 358, 117, 637]	False
frontal_theta	Levene	0.14	0.935	[278, 358, 117, 637]	False
gamma	Barlett	55.94	0.0	[278, 358, 117, 637]	True
gamma	Levene	2.01	0.111	[278, 358, 117, 637]	False
posterior_alpha	Barlett	57.4	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	2.72	0.043	[278, 358, 117, 637]	True
