Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	31.69	0.0	[230, 138, 575, 447]	True
beta	Levene	6.13	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	287.37	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	5.88	0.001	[230, 138, 575, 447]	True
frontal_theta	Barlett	165.39	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	6.71	0.0	[230, 138, 575, 447]	True
gamma	Barlett	149.3	0.0	[230, 138, 575, 447]	True
gamma	Levene	3.59	0.013	[230, 138, 575, 447]	True
hf-hrv	Barlett	148.77	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	41.53	0.0	[230, 138, 575, 447]	True
ibi	Barlett	80.37	0.0	[230, 138, 575, 447]	True
ibi	Levene	19.07	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	246.65	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	6.88	0.0	[230, 138, 575, 447]	True
