State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.89	278	0.0	True
0	frontal_alpha	0.84	278	0.0	True
0	frontal_theta	0.79	278	0.0	True
0	gamma	0.78	278	0.0	True
0	posterior_alpha	0.78	278	0.0	True
1	beta	0.78	358	0.0	True
1	frontal_alpha	0.14	358	0.0	True
1	frontal_theta	0.08	358	0.0	True
1	gamma	0.63	358	0.0	True
1	posterior_alpha	0.94	358	0.0	True
2	beta	0.96	117	0.001	True
2	frontal_alpha	0.63	117	0.0	True
2	frontal_theta	0.86	117	0.0	True
2	gamma	0.87	117	0.0	True
2	posterior_alpha	0.61	117	0.0	True
3	beta	0.86	637	0.0	True
3	frontal_alpha	0.78	637	0.0	True
3	frontal_theta	0.74	637	0.0	True
3	gamma	0.8	637	0.0	True
3	posterior_alpha	0.68	637	0.0	True
