State	Variable	Statistic	Samples	p-value	Significance
0	arousal	0.81	219	0.0	True
0	beta	0.93	219	0.0	True
0	frontal_alpha	0.83	219	0.0	True
0	frontal_theta	0.38	219	0.0	True
0	gamma	0.94	219	0.0	True
0	hf-hrv	0.98	219	0.005	True
0	ibi	0.98	219	0.004	True
0	posterior_alpha	0.75	219	0.0	True
0	valence	0.52	219	0.0	True
1	arousal	0.85	426	0.0	True
1	beta	0.86	426	0.0	True
1	frontal_alpha	0.58	426	0.0	True
1	frontal_theta	0.3	426	0.0	True
1	gamma	0.71	426	0.0	True
1	hf-hrv	0.99	426	0.001	True
1	ibi	0.98	426	0.0	True
1	posterior_alpha	0.65	426	0.0	True
1	valence	0.7	426	0.0	True
2	arousal	0.85	169	0.0	True
2	beta	0.99	169	0.07	False
2	frontal_alpha	0.7	169	0.0	True
2	frontal_theta	0.43	169	0.0	True
2	gamma	0.78	169	0.0	True
2	hf-hrv	0.97	169	0.0	True
2	ibi	0.98	169	0.023	True
2	posterior_alpha	0.67	169	0.0	True
2	valence	0.79	169	0.0	True
3	arousal	0.86	576	0.0	True
3	beta	0.18	576	0.0	True
3	frontal_alpha	0.59	576	0.0	True
3	frontal_theta	0.72	576	0.0	True
3	gamma	0.19	576	0.0	True
3	hf-hrv	0.98	576	0.0	True
3	ibi	0.99	576	0.002	True
3	posterior_alpha	0.24	576	0.0	True
3	valence	0.56	576	0.0	True
