State	Variable	Statistic	Samples	p-value	Significance
0	beta	0.95	230	0.0	True
0	frontal_alpha	0.78	230	0.0	True
0	frontal_theta	0.52	230	0.0	True
0	gamma	0.81	230	0.0	True
0	hf-hrv	0.96	230	0.0	True
0	ibi	0.98	230	0.001	True
0	posterior_alpha	0.76	230	0.0	True
1	beta	0.88	138	0.0	True
1	frontal_alpha	0.65	138	0.0	True
1	frontal_theta	0.66	138	0.0	True
1	gamma	0.89	138	0.0	True
1	hf-hrv	0.98	138	0.024	True
1	ibi	0.97	138	0.003	True
1	posterior_alpha	0.55	138	0.0	True
2	beta	0.76	575	0.0	True
2	frontal_alpha	0.68	575	0.0	True
2	frontal_theta	0.58	575	0.0	True
2	gamma	0.68	575	0.0	True
2	hf-hrv	0.98	575	0.0	True
2	ibi	0.99	575	0.003	True
2	posterior_alpha	0.68	575	0.0	True
3	beta	0.91	447	0.0	True
3	frontal_alpha	0.65	447	0.0	True
3	frontal_theta	0.59	447	0.0	True
3	gamma	0.86	447	0.0	True
3	hf-hrv	0.95	447	0.0	True
3	ibi	0.98	447	0.0	True
3	posterior_alpha	0.61	447	0.0	True
