Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	205.62	0.0	[230, 138, 575, 447]	True
beta	Levene	11.53	0.0	[230, 138, 575, 447]	True
frontal_alpha	Barlett	20.69	0.0	[230, 138, 575, 447]	True
frontal_alpha	Levene	4.5	0.004	[230, 138, 575, 447]	True
frontal_theta	Barlett	89.88	0.0	[230, 138, 575, 447]	True
frontal_theta	Levene	2.79	0.04	[230, 138, 575, 447]	True
gamma	Barlett	186.6	0.0	[230, 138, 575, 447]	True
gamma	Levene	4.65	0.003	[230, 138, 575, 447]	True
hf-hrv	Barlett	137.94	0.0	[230, 138, 575, 447]	True
hf-hrv	Levene	34.34	0.0	[230, 138, 575, 447]	True
ibi	Barlett	20.97	0.0	[230, 138, 575, 447]	True
ibi	Levene	9.65	0.0	[230, 138, 575, 447]	True
posterior_alpha	Barlett	41.66	0.0	[230, 138, 575, 447]	True
posterior_alpha	Levene	8.78	0.0	[230, 138, 575, 447]	True
