Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	43.87	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	11.97	0.0	[310, 342, 409, 331]	True
ibi	Barlett	14.52	0.002	[310, 342, 409, 331]	True
ibi	Levene	3.95	0.008	[310, 342, 409, 331]	True
