Variable	Test	Statistic	p-value	Samples	Significance
beta	Barlett	147.55	0.0	[278, 358, 117, 637]	True
beta	Levene	1.62	0.183	[278, 358, 117, 637]	False
frontal_alpha	Barlett	368.35	0.0	[278, 358, 117, 637]	True
frontal_alpha	Levene	17.99	0.0	[278, 358, 117, 637]	True
frontal_theta	Barlett	418.71	0.0	[278, 358, 117, 637]	True
frontal_theta	Levene	19.65	0.0	[278, 358, 117, 637]	True
gamma	Barlett	604.59	0.0	[278, 358, 117, 637]	True
gamma	Levene	0.48	0.693	[278, 358, 117, 637]	False
posterior_alpha	Barlett	285.67	0.0	[278, 358, 117, 637]	True
posterior_alpha	Levene	16.34	0.0	[278, 358, 117, 637]	True
