Variable	Test	Statistic	p-value	Samples	Significance
hf-hrv	Barlett	59.78	0.0	[310, 342, 409, 331]	True
hf-hrv	Levene	3.58	0.013	[310, 342, 409, 331]	True
ibi	Barlett	15.66	0.001	[310, 342, 409, 331]	True
ibi	Levene	5.61	0.001	[310, 342, 409, 331]	True
